iteration,loss,augmented_lagrangian_loss
0,2014.3629150390625,2018.781494140625
1,1800.5035400390625,1800.8514404296875
2,1721.9876708984375,1722.050048828125
3,1659.8250732421875,1659.8250732421875
4,1608.1400146484375,1608.1396484375
5,1562.40869140625,1562.408447265625
6,1521.3021240234375,1521.302001953125
7,1481.235595703125,1481.2357177734375
8,1442.429931640625,1442.4298095703125
9,1405.032470703125,1405.0322265625
10,1369.4539794921875,1369.4537353515625
11,1333.513916015625,1333.5137939453125
12,1298.228271484375,1298.2281494140625
13,1263.9453125,1263.9449462890625
14,1231.0267333984375,1231.0264892578125
15,1197.3568115234375,1197.3568115234375
16,1163.9176025390625,1163.917724609375
17,1131.1654052734375,1131.1654052734375
18,1099.961669921875,1099.9615478515625
19,1068.2720947265625,1068.2718505859375
20,1037.1953125,1037.1949462890625
21,1006.5435180664062,1006.5431518554688
22,977.4801025390625,977.4797973632812
23,947.824951171875,947.8245849609375
24,918.4334106445312,918.4329223632812
25,889.5113525390625,889.5108642578125
26,862.2926025390625,862.2919921875
27,834.429931640625,834.429443359375
28,807.1434326171875,807.1427001953125
29,780.494873046875,780.494140625
30,755.4453735351562,755.4445190429688
31,729.6449584960938,729.6441040039062
32,703.8201293945312,703.8193969726562
33,678.7760620117188,678.7750854492188
34,655.6296997070312,655.6287231445312
35,632.0206298828125,632.0197143554688
36,609.0827026367188,609.0816650390625
37,586.6727294921875,586.6715698242188
38,565.8248901367188,565.8236694335938
39,544.232177734375,544.2310180664062
40,523.05810546875,523.0567016601562
41,502.30010986328125,502.29864501953125
42,483.5570373535156,483.55548095703125
43,464.68701171875,464.685546875
44,446.5560302734375,446.5543212890625
45,429.4972229003906,429.4952697753906
46,414.3021240234375,414.29931640625
47,398.36553955078125,398.3636779785156
48,383.0061950683594,383.0040283203125
49,368.1382751464844,368.13604736328125
50,354.954345703125,354.95196533203125
51,341.387451171875,341.3850402832031
52,328.4920654296875,328.4894714355469
53,316.4476013183594,316.4449157714844
54,306.3978271484375,306.39508056640625
55,295.7713623046875,295.768798828125
56,285.53717041015625,285.5345153808594
57,275.98046875,275.9778747558594
58,268.1341857910156,268.13165283203125
59,259.5516357421875,259.54925537109375
60,251.449462890625,251.4470672607422
61,244.2729034423828,244.2706756591797
62,238.69851684570312,238.69644165039062
63,232.275146484375,232.27330017089844
64,226.09375,226.09193420410156
65,220.4256134033203,220.42384338378906
66,216.21810913085938,216.2165985107422
67,211.1639862060547,211.16282653808594
68,206.3435516357422,206.34239196777344
69,202.14166259765625,202.14065551757812
70,199.4371337890625,199.4362335205078
71,195.69805908203125,195.6974639892578
72,192.0419464111328,192.0413055419922
73,188.89480590820312,188.89422607421875
74,187.19656372070312,187.19602966308594
75,184.37353515625,184.3733367919922
76,181.55093383789062,181.55067443847656
77,179.15682983398438,179.15658569335938
78,178.07737731933594,178.0771942138672
79,175.7259521484375,175.7259521484375
80,173.38233947753906,173.38226318359375
81,171.44969177246094,171.44961547851562
82,170.85336303710938,170.8533172607422
83,169.02114868164062,169.02127075195312
84,167.12075805664062,167.1207733154297
85,165.5911102294922,165.59109497070312
86,165.37380981445312,165.37384033203125
87,163.85781860351562,163.85800170898438
88,162.27723693847656,162.27728271484375
89,161.0734100341797,161.0734100341797
90,161.19906616210938,161.1990966796875
91,159.99876403808594,159.99896240234375
92,158.69076538085938,158.6908416748047
93,157.72183227539062,157.72181701660156
94,158.0458984375,158.04591369628906
95,157.01710510253906,157.01727294921875
96,155.8848419189453,155.88487243652344
97,155.06961059570312,155.06961059570312
98,155.55050659179688,155.55050659179688
99,154.66012573242188,154.6602783203125
100,153.66156005859375,153.66156005859375
101,152.97479248046875,152.97474670410156
102,153.58193969726562,153.5819091796875
103,152.8143310546875,152.814453125
104,151.93588256835938,151.93588256835938
105,151.35391235351562,151.35385131835938
106,152.06370544433594,152.0636749267578
107,151.40597534179688,151.40609741210938
108,150.61746215820312,150.61744689941406
109,150.11268615722656,150.1126251220703
110,150.8917694091797,150.8917236328125
111,150.33035278320312,150.33047485351562
112,149.67971801757812,149.6796875
113,149.4894561767578,149.48939514160156
114,150.74261474609375,150.7424774169922
115,151.03482055664062,151.03501892089844
116,150.85873413085938,150.85858154296875
117,150.80416870117188,150.8042755126953
118,151.93771362304688,151.93756103515625
119,151.7125244140625,151.71278381347656
120,151.28489685058594,151.28480529785156
121,151.02777099609375,151.0277862548828
122,152.053955078125,152.05386352539062
123,151.74928283691406,151.7494354248047
124,151.25897216796875,151.25892639160156
125,150.99378967285156,150.99375915527344
126,151.95262145996094,151.95257568359375
127,151.6754608154297,151.6755828857422
128,151.12416076660156,151.12416076660156
129,150.86407470703125,150.86404418945312
130,151.76226806640625,151.76222229003906
131,151.51181030273438,151.51193237304688
132,150.92555236816406,150.92556762695312
133,150.6713409423828,150.67127990722656
134,151.5552978515625,151.5552520751953
135,151.3279571533203,151.32809448242188
136,150.759033203125,150.75904846191406
137,150.4912567138672,150.49119567871094
138,151.3757781982422,151.375732421875
139,151.13807678222656,151.1382598876953
140,150.582275390625,150.58226013183594
141,150.30258178710938,150.30252075195312
142,151.17181396484375,151.17178344726562
143,150.94482421875,150.94496154785156
144,150.38922119140625,150.38917541503906
145,150.13479614257812,150.13475036621094
146,151.00123596191406,151.00123596191406
147,150.8143768310547,150.81446838378906
148,150.2257080078125,150.22567749023438
149,149.97900390625,149.9789581298828
150,150.83084106445312,150.83084106445312
151,150.66799926757812,150.6680450439453
152,150.0873260498047,150.08731079101562
153,149.83340454101562,149.83338928222656
154,150.6696014404297,150.66957092285156
155,150.51344299316406,150.51345825195312
156,149.98268127441406,149.98269653320312
157,149.73614501953125,149.73619079589844
158,150.58319091796875,150.5831298828125
159,150.3583984375,150.35842895507812
160,149.8410186767578,149.84104919433594
161,149.57354736328125,149.57357788085938
162,150.46241760253906,150.46234130859375
163,150.2218780517578,150.22193908691406
164,149.72341918945312,149.72348022460938
165,149.41009521484375,149.41009521484375
166,150.31231689453125,150.31224060058594
167,150.11341857910156,150.113525390625
168,149.63290405273438,149.633056640625
169,149.31764221191406,149.31756591796875
170,150.15823364257812,150.15817260742188
171,149.9800262451172,149.9801483154297
172,149.4954833984375,149.49566650390625
173,149.20263671875,149.20254516601562
174,149.99496459960938,149.99490356445312
175,149.81951904296875,149.81968688964844
176,149.3063201904297,149.30645751953125
177,149.04087829589844,149.04078674316406
178,149.86404418945312,149.86399841308594
179,149.69775390625,149.69801330566406
180,149.14630126953125,149.14634704589844
181,148.86578369140625,148.8656768798828
182,149.7451934814453,149.7451629638672
183,149.59132385253906,149.5917205810547
184,149.0463409423828,149.04627990722656
185,148.65614318847656,148.6560516357422
186,149.5299530029297,149.52993774414062
187,149.3580322265625,149.35836791992188
188,148.84298706054688,148.84291076660156
189,148.4594268798828,148.45936584472656
190,149.34390258789062,149.3439178466797
191,149.12547302246094,149.12570190429688
192,148.6329803466797,148.63287353515625
193,148.3531951904297,148.35316467285156
194,149.2906494140625,149.29080200195312
195,149.06358337402344,149.0636444091797
196,148.428466796875,148.42837524414062
197,148.1498565673828,148.14984130859375
198,149.09170532226562,149.0918426513672
199,148.87921142578125,148.8792266845703
200,148.20449829101562,148.2044219970703
201,147.92698669433594,147.92698669433594
202,148.8525390625,148.85263061523438
203,148.6876678466797,148.68765258789062
204,148.0370635986328,148.03701782226562
205,147.77664184570312,147.7766876220703
206,148.65794372558594,148.657958984375
207,148.5284423828125,148.52838134765625
208,147.99581909179688,147.99581909179688
209,147.79055786132812,147.790771484375
210,148.66915893554688,148.66908264160156
211,148.43202209472656,148.4319610595703
212,147.94479370117188,147.94482421875
213,147.75558471679688,147.75588989257812
214,148.64773559570312,148.6476287841797
215,148.30252075195312,148.30245971679688
216,147.82244873046875,147.82247924804688
217,147.604736328125,147.60501098632812
218,148.54420471191406,148.54408264160156
219,148.17709350585938,148.17706298828125
220,147.70335388183594,147.70338439941406
221,147.43429565429688,147.43453979492188
222,148.38604736328125,148.38592529296875
223,148.0035400390625,148.00352478027344
224,147.54388427734375,147.54391479492188
225,147.24441528320312,147.24464416503906
226,148.2171630859375,148.217041015625
227,147.83840942382812,147.83840942382812
228,147.3936767578125,147.39376831054688
229,147.06649780273438,147.06666564941406
230,148.07522583007812,148.07510375976562
231,147.75173950195312,147.75177001953125
232,147.3323516845703,147.3325958251953
233,146.99588012695312,146.9959259033203
234,148.00616455078125,148.0060577392578
235,147.7957305908203,147.7957763671875
236,147.43748474121094,147.43801879882812
237,147.0845947265625,147.0845184326172
238,147.94979858398438,147.94967651367188
239,147.73092651367188,147.73094177246094
240,147.39901733398438,147.399658203125
241,147.03567504882812,147.03561401367188
242,147.88795471191406,147.88784790039062
243,147.64720153808594,147.64720153808594
244,147.35008239746094,147.350830078125
245,146.97091674804688,146.9709014892578
246,147.8578338623047,147.8577423095703
247,147.63233947753906,147.63233947753906
248,147.359375,147.3602294921875
249,146.96009826660156,146.9601287841797
250,147.79222106933594,147.79214477539062
251,147.5703125,147.57029724121094
252,147.3043212890625,147.30523681640625
253,146.89508056640625,146.89515686035156
254,147.660888671875,147.6608123779297
255,147.4457550048828,147.4457550048828
256,147.175048828125,147.17596435546875
257,146.76318359375,146.76324462890625
258,147.55348205566406,147.55340576171875
259,147.33580017089844,147.3358154296875
260,147.06036376953125,147.06126403808594
261,146.6398468017578,146.639892578125
262,147.4388885498047,147.43881225585938
263,147.22230529785156,147.22232055664062
264,146.94053649902344,146.94139099121094
265,146.4998779296875,146.4999237060547
266,147.3047637939453,147.30467224121094
267,147.0862579345703,147.08627319335938
268,146.8001251220703,146.8009033203125
269,146.37950134277344,146.3795928955078
270,147.1944122314453,147.19430541992188
271,146.9727783203125,146.97279357910156
272,146.68006896972656,146.68080139160156
273,146.2572021484375,146.25730895996094
274,147.08180236816406,147.08169555664062
275,146.85678100585938,146.85679626464844
276,146.54409790039062,146.5447998046875
277,146.1143341064453,146.114501953125
278,146.947265625,146.94715881347656
279,146.72018432617188,146.72018432617188
280,146.41897583007812,146.41969299316406
281,145.98683166503906,145.9870147705078
282,146.82444763183594,146.8243408203125
283,146.59918212890625,146.5991668701172
284,146.2962188720703,146.2969512939453
285,145.8616180419922,145.86181640625
286,146.7074432373047,146.70733642578125
287,146.47914123535156,146.4791259765625
288,146.17271423339844,146.17344665527344
289,145.734619140625,145.73483276367188
290,146.5878143310547,146.58770751953125
291,146.3498077392578,146.34979248046875
292,146.03981018066406,146.0405731201172
293,145.59786987304688,145.59808349609375
294,146.45681762695312,146.45672607421875
295,146.22474670410156,146.22474670410156
296,145.91323852539062,145.9140167236328
297,145.4619903564453,145.4622039794922
298,146.33102416992188,146.33094787597656
299,146.09889221191406,146.09889221191406
300,145.79010009765625,145.79087829589844
301,145.333740234375,145.33395385742188
302,146.2106170654297,146.21054077148438
303,145.9804229736328,145.98043823242188
304,145.67071533203125,145.67149353027344
305,145.209228515625,145.2094268798828
306,146.09033203125,146.09027099609375
307,145.862060546875,145.86207580566406
308,145.55123901367188,145.55201721191406
309,145.08436584472656,145.08456420898438
310,145.97023010253906,145.9701690673828
311,145.74313354492188,145.74314880371094
312,145.4320526123047,145.43283081054688
313,144.9591064453125,144.9593048095703
314,145.84869384765625,145.8486328125
315,145.6241912841797,145.6242218017578
316,145.3134765625,145.3142547607422
317,144.8358154296875,144.83599853515625
318,145.72998046875,145.72991943359375
319,145.5095977783203,145.50962829589844
320,145.19813537597656,145.19891357421875
321,144.71563720703125,144.71583557128906
322,145.59671020507812,145.59664916992188
323,145.37994384765625,145.37997436523438
324,145.07119750976562,145.07192993164062
325,144.58145141601562,144.5816650390625
326,145.45684814453125,145.45677185058594
327,145.2454833984375,145.24549865722656
328,144.94003295898438,144.9407196044922
329,144.4476776123047,144.4479217529297
330,145.3123016357422,145.31219482421875
331,145.10260009765625,145.10260009765625
332,144.79974365234375,144.80035400390625
333,144.30641174316406,144.3067169189453
334,145.16127014160156,145.1611328125
335,144.9509735107422,144.95095825195312
336,144.6503143310547,144.65081787109375
337,144.1566619873047,144.15701293945312
338,145.00340270996094,145.00323486328125
339,144.80618286132812,144.80613708496094
340,144.5092010498047,144.50962829589844
341,144.013671875,144.0140838623047
342,144.85447692871094,144.85427856445312
343,144.67706298828125,144.677001953125
344,144.38534545898438,144.38568115234375
345,143.88392639160156,143.8843994140625
346,144.7221221923828,144.72189331054688
347,144.5498504638672,144.54977416992188
348,144.26632690429688,144.26657104492188
349,143.75704956054688,143.75755310058594
350,144.5960693359375,144.59585571289062
351,144.42587280273438,144.42578125
352,144.15234375,144.15249633789062
353,143.6331787109375,143.63368225097656
354,144.47377014160156,144.47357177734375
355,144.3037109375,144.3035888671875
356,144.0410614013672,144.0411376953125
357,143.51046752929688,143.51095581054688
358,144.35557556152344,144.3554229736328
359,144.1837158203125,144.18357849121094
360,143.93458557128906,143.93460083007812
361,143.39141845703125,143.391845703125
362,144.24195861816406,144.24188232421875
363,144.0678253173828,144.06768798828125
364,143.8301544189453,143.8301239013672
365,143.27633666992188,143.2766876220703
366,144.1285400390625,144.12855529785156
367,143.95521545410156,143.955078125
368,143.7283477783203,143.72828674316406
369,143.1663818359375,143.16664123535156
370,144.02056884765625,144.02064514160156
371,143.849609375,143.84951782226562
372,143.63168334960938,143.63157653808594
373,143.06350708007812,143.0636749267578
374,143.916015625,143.91615295410156
375,143.7501220703125,143.75009155273438
376,143.53598022460938,143.5358428955078
377,142.96527099609375,142.96533203125
378,143.813232421875,143.81338500976562
379,143.65457153320312,143.65464782714844
380,143.440673828125,143.44052124023438
381,142.8699188232422,142.8699188232422
382,143.7107696533203,143.71090698242188
383,143.56214904785156,143.5623779296875
384,143.34475708007812,143.34458923339844
385,142.77642822265625,142.77635192871094
386,143.61080932617188,143.6108856201172
387,143.47103881835938,143.47142028808594
388,143.25205993652344,143.2519073486328
389,142.68328857421875,142.68316650390625
390,143.5146484375,143.51466369628906
391,143.3804931640625,143.3809814453125
392,143.16311645507812,143.1630096435547
393,142.58949279785156,142.58934020996094
394,143.42303466796875,143.42298889160156
395,143.29022216796875,143.29074096679688
396,143.07937622070312,143.0793914794922
397,142.49520874023438,142.49502563476562
398,143.3356170654297,143.33554077148438
399,143.20147705078125,143.20193481445312
400,143.00057983398438,143.00076293945312
401,142.4026336669922,142.40243530273438
402,143.25086975097656,143.2507781982422
403,143.1165771484375,143.11692810058594
404,142.92477416992188,142.9251251220703
405,142.313720703125,142.31353759765625
406,143.1680450439453,143.1679229736328
407,143.03652954101562,143.0367431640625
408,142.85235595703125,142.85281372070312
409,142.2322998046875,142.23219299316406
410,143.08653259277344,143.08639526367188
411,142.9639892578125,142.96409606933594
412,142.7816619873047,142.78213500976562
413,142.15890502929688,142.15895080566406
414,143.00527954101562,143.00511169433594
415,142.89791870117188,142.89791870117188
416,142.71380615234375,142.71420288085938
417,142.09120178222656,142.0914306640625
418,142.9274139404297,142.92721557617188
419,142.83566284179688,142.83560180664062
420,142.65194702148438,142.65220642089844
421,142.0269775390625,142.02732849121094
422,142.85633850097656,142.8561553955078
423,142.7745361328125,142.77442932128906
424,142.59841918945312,142.59854125976562
425,141.9629669189453,141.9633331298828
426,142.79296875,142.79287719726562
427,142.71221923828125,142.71206665039062
428,142.55264282226562,142.55264282226562
429,141.90054321289062,141.9008026123047
430,142.73611450195312,142.73619079589844
431,142.65028381347656,142.65013122558594
432,142.509521484375,142.5094451904297
433,141.8369140625,141.8370361328125
434,142.6731414794922,142.67333984375
435,142.58966064453125,142.58963012695312
436,142.4581298828125,142.45799255371094
437,141.77806091308594,141.77804565429688
438,142.60708618164062,142.60726928710938
439,142.5340118408203,142.5342254638672
440,142.3986053466797,142.3984375
441,141.72581481933594,141.7257080078125
442,142.54241943359375,142.54249572753906
443,142.48265075683594,142.48309326171875
444,142.3400115966797,142.3399200439453
445,141.66876220703125,141.66859436035156
446,142.4798126220703,142.4797821044922
447,142.42555236816406,142.4260711669922
448,142.28671264648438,142.28689575195312
449,141.6037139892578,141.60350036621094
450,142.4237060546875,142.42361450195312
451,142.3653564453125,142.36575317382812
452,142.2425537109375,142.24310302734375
453,141.5357208251953,141.5354766845703
454,142.3689422607422,142.36883544921875
455,142.3088836669922,142.30906677246094
456,142.19805908203125,142.19882202148438
457,141.47799682617188,141.47787475585938
458,142.2847900390625,142.28466796875
459,142.23941040039062,142.2394256591797
460,142.12771606445312,142.1283721923828
461,141.40821838378906,141.40841674804688
462,142.2169189453125,142.21670532226562
463,142.198486328125,142.1984100341797
464,142.08119201660156,142.08160400390625
465,141.36436462402344,141.3648223876953
466,142.15496826171875,142.1547393798828
467,142.07847595214844,142.07833862304688
468,141.9706268310547,141.9708251953125
469,141.23800659179688,141.2384033203125
470,142.02749633789062,142.0274200439453
471,142.0261688232422,142.0260009765625
472,141.9390869140625,141.9390869140625
473,141.1878662109375,141.1881103515625
474,141.981201171875,141.9813690185547
475,141.9744873046875,141.97433471679688
476,141.85931396484375,141.8592071533203
477,141.09120178222656,141.09127807617188
478,141.88113403320312,141.88133239746094
479,141.87933349609375,141.87937927246094
480,141.817138671875,141.81698608398438
481,141.0498504638672,141.04978942871094
482,141.82989501953125,141.8300018310547
483,141.83795166015625,141.83831787109375
484,141.76895141601562,141.76885986328125
485,140.9727783203125,140.97262573242188
486,141.74588012695312,141.74586486816406
487,141.76132202148438,141.76174926757812
488,141.6935272216797,141.69371032714844
489,140.92295837402344,140.92274475097656
490,141.7003173828125,141.70022583007812
491,141.713134765625,141.71343994140625
492,141.65716552734375,141.65777587890625
493,140.86985778808594,140.86962890625
494,141.62197875976562,141.62185668945312
495,141.63270568847656,141.63284301757812
496,141.58790588378906,141.58863830566406
497,140.78878784179688,140.78872680664062
498,141.56602478027344,141.56585693359375
499,141.5931854248047,141.59315490722656
